name,lat,lng
1 Park Road (Colombo),6.885099,79.867151
1 Union (Colombo),6.922853,79.852688
1 Wijerama Mw (Colombo),6.915972,79.869223
100 High Level (Colombo),6.878296,79.876165
130 Wijerama Mw (Colombo),6.906296,79.87323
340 Park Road (Colombo),6.889094,79.876679
360 Papiliyana,6.856587,79.890299
443 Maradana Rd,6.92712,79.865615
6.971_ 79.885,6.97097,79.885069
62 Horton Pl (Colombo),6.911463,79.870675
9.091_ 80.898,9.091035,80.897985
96 Kanatta,6.911249,79.877395
Agalawatte,6.542319,80.157564
Akkaraipattu,7.219392,81.849758
Akuressa,6.100274,80.475794
Alawwa,7.295461,80.23663
Alexandra Roundabout (Colombo),6.91151,79.864521
Aluthgama,6.434137,80.000525
Ambalangoda,6.244152,80.059293
Ambatale Junction,6.943061,79.923724
Ambepussa,7.241662,80.211435
Ampara,7.301859,81.675129
Anamaduwa,7.877793,80.011069
Andara Wewa (Anuradhapura),8.457505,80.302859
Andaulpotha,7.25835,81.080468
Angoda,6.936624,79.926913
Anguruwatota,6.644814,80.074438
Anuradhapura,8.311388,80.403615
Ape Gama,6.890819199999999,79.9222234
Aralaganwila,7.768283,81.174668
Araly,9.706271,79.955671
Aranayake,7.149607,80.464736
Arcade,6.9027394,79.8688116
Asokaramaya Temple,6.891112799999999,79.86450959999999
Athurugiriya Interchange,6.883402,79.976532
Attidiya Bird Sanctuary,6.8370138,79.8906674
Avissawella,6.954332,80.204574
BMICH,6.9016892,79.87337459999999
Badalkumbura,6.895599,81.236358
Baddegama Exit,6.168828,80.179383
Badulla,6.993304,81.05438
Balaluwewa,7.978305,80.524371
Balangoda,6.662745,80.710219
Ballapitiya,6.694072,80.073242
Bambalapitiya,6.900928,79.8549
Bandaragama,6.714408,79.989064
Bandarawela,6.825781,80.997992
Barefoot,6.8966667,79.8541667
Battaramulla,6.897994,79.922281
Batticaloa,7.730785,81.675297
Beddagana Park,6.891499100000001,79.9090871
Beliatta,6.048385,80.733982
Bellana,6.521736,80.173145
Bellanthota Junction,6.848347,79.88543
Bellanwila Temple,6.845646599999999,79.89004109999999
Beragala,6.763628,80.918293
Bibile,7.163683,81.220933
Blackpool (Nuwara Eliya),6.94243,80.778988
Bodagama,6.427939,81.097395
Bogahawewa (Padaviya_ Anuradhapura),8.870073,80.861974
Bogowantalawa,6.797172,80.675835
Bope (Colombo),6.824829,80.138133
Boralanda,6.827989,80.894317
Boralesgamuwa,6.841169,79.902478
Borella Tunnel,6.914818,79.877558
Bulathkohupitiya,7.104607,80.335778
Buttala,6.7596,81.249179
Campion Estate (Nuwara Eliya),6.781915,80.697426
Chenkalady,7.785981,81.589894
Chilaw,7.562131,79.801598
Cinnamon Grand,6.917879,79.848477
Colombo Fort,6.936521,79.845071
Colombo University,6.9000149,79.8587938
Cotta Park (Colombo),6.910488,79.887253
Dalukkane,7.884103,81.139097
Damana (Ampara),7.201567,81.656884
Dambulla,7.874269,80.651008
Dampelessa,7.410134,80.207792
Dankotuwa,7.297507,79.882225
Dehiattakandiya,7.671178,81.046441
Dehiowita,6.963873,80.264154
Dehiwala Junction,6.850429,79.866067
Dehiwala Zoo,6.8569811,79.87440250000002
Deltota,7.172697,80.701573
Dematagoda,6.935256,79.880772
Deniyaya,6.341789,80.559924
Depdene,6.459468,80.558178
Deraniyagala,6.934364,80.336965
Dick Oya,6.874941,80.602839
Dimbulagala,7.861036,81.105262
Divulapitiya,7.23076,80.016378
Diyatha Uyana,6.904574999999999,79.9098313
Dodangoda Interchage (E01),6.542265,80.043288
Dolosbage,7.087755,80.464355
Dutch Hospital,6.9335201,79.8435129
Ekala,7.102323,79.908715
Elahera,7.734723,80.793093
Ella (Badulla),6.867786,81.046846
Elpitiya,6.288058,80.159526
Eluwankulama,8.273178,79.879795
Embilipitiya,6.316768,80.843691
Etulkotte,6.891447,79.905211
Galewela,7.756886,80.577177
Galgamuwa,7.988451,80.290261
Galkulama,8.273512,80.500225
Galle Face,6.928577499999999,79.84508
Galle Face Hotel,6.9204959,79.8459888
Galle Town,6.053655,80.221218
Gampola,7.126632,80.56505
Gamsabha Junction,6.864623,79.897634
Gangarama Temple,6.9167079,79.8567223
Gangodawila,6.869029,79.890334
Gelanigama,6.719715,80.001182
Geoffrey Bawas Home,6.9013972,79.8578806
Ginigathena,6.989354,80.492653
Ginigathhena,6.989278,80.492675
Giritale,7.988167,80.922364
Giriulla,7.331328,80.122759
Godagama (Colombo),6.851664,80.032703
Godagama (Matara),5.971427,80.518267
Gothami Temple,6.914568699999999,79.8871346
Gothatuwa New Town,6.924773,79.915139
Habarana,8.032579,80.751138
Hakmana,6.079693,80.657717
Hali-ela,6.95669,81.033982
Halloluwa,7.301365,80.592927
Hambantota,6.142886,81.121279
Hambegamuwa,6.535634,80.982364
Hanwella,6.896907,80.081622
Hasalaka,7.354556,80.952348
Hatton (Nuwara Eliya),6.900119,80.596199
Havelock Bo Tree (Colombo),6.881806,79.869856
Hettipola,7.533107,80.913399
Hikkaduwa,6.139469,80.106303
Hokandara,6.874443,79.969564
Horana,6.721941,80.064814
Horawela,6.480908,80.128886
Horewala Buddhist Temple,7.141957,80.468461
Horowupotana,8.559774,80.833765
Horton Plains,6.802096,80.807413
Hyde Park Corner (Colombo),6.917336,79.860073
Imaduwa,6.037539,80.390664
Independence Square,6.9035383,79.8681098
Inginiyagala,7.213476,81.54338
Ingiriya,6.740505,80.162414
Ja-Ela,7.074357,79.913138
Ja-Ela Interchage,7.081598,79.877756
Jaffna,9.661592,80.025409
Jami Ul-Alfar Mosque,6.938504399999999,79.85159399999999
Jana Kala Kendraya,6.890177700000001,79.9217188
Kadawatha,7.001424,79.949884
Kaduwela,6.930978,79.984181
Kaduwela Interchange,6.936085,79.971597
Kahathuduwa,6.781929,79.994467
Kailawasanathan Temple,6.9305618,79.8572014
Kalawana,6.531556,80.39677
Kalawellawa,6.628521,80.159746
Kalawewa,8.011791,80.537407
Kalmunai,7.414343,81.830646
Kaltota,6.658989,80.867821
Kalupahana Junction,6.766042,80.849966
Kalutara,6.585408,79.960636
Kamburupitiya,6.078307,80.563943
Kanatta Junction,6.908618,79.877092
Kandalama (Gampaha),7.272625,80.136329
Kandehandiya,7.213536,80.755094
Kandy Town,7.290186,80.633843
Kankesanturai,9.815402,80.044534
Kantale,8.351676,81.007246
Karainagar,9.748132,79.882642
Karaitivu,7.377093,81.841679
Karametiya (Badulla),7.191174,81.030061
Karawanella,7.023601,80.26147
Kataragama,6.413528,81.332549
Katugastota,7.335964,80.621332
Katukurunda,6.549413,79.983405
Katunayake,7.172365,79.885512
Katuwana,6.264121,80.690639
Kayts,9.653109,79.907629
Kebitigollewa,8.642737,80.671211
Keenadeniya Junction,7.253562,80.172431
Keenadeniya Junction Bus Stop,7.253562,80.172431
Kegalle,7.251178,80.345922
Kelaniya Rajamaha Viharaya,6.9516076,79.9186623
Kerawalapitiya Interchange,7.017508,79.88998
Kesbewa,6.778918,79.947317
Keselwatta,6.749054,79.902677
Khan Clock Tower,6.9371222,79.8492648
Kindelpitiya Temple,6.751968,79.955272
Kirama,6.206549,80.663525
Kirinda,6.233685,81.332525
Kitulgala,6.989137,80.4271
Kochchikade,7.265628,79.859262
Kodikamam,9.681607,80.21972
Kohilawatta,6.943653,79.915331
Kohuwala,6.862372,79.885815
Kohuwela,6.862372,79.885815
Kokkilai,8.998109,80.94909
Kokmaduwa Interchange,6.022382,80.433609
Kollupitiya,6.912897,79.850657
Kolonnawa,6.928474,79.89517
Koslanda,6.743045,81.017897
Kotadeniyawa,7.283899,80.066091
Kotapola,6.275722,80.541396
Kothalawala Interchange,6.923326,79.979241
Kotikawatta,6.93446,79.906188
Kottawa,6.841171,79.965443
Kotte Rajamaha Vihara,6.881028199999999,79.9047511
Kotugoda (Gampaha),7.123408,79.924103
Kuda Kebaliththa Devalaya,6.516953,81.698391
Kumbalwela,6.881807,81.034609
Kurikadduwan,9.596161,79.794874
Kurundugahahetekma,6.270741,80.144438
Kurunegala,7.473416,80.355337
Laksala,6.8979525,79.8605828
Liberty Plaza,6.9113587,79.8514249
Lionel Wendt Art Centre,6.9068713,79.8606262
Loggal Oya,7.219539,81.025294
Lotus Tower,6.927123399999999,79.8582954
Madampe (Puttalam),7.497334,79.841541
Madampe (Ratnapura),6.540477,80.596683
Madurankuli,7.908123,79.820588
Maha Oya (Ampara),7.529786,81.345171
Maharagama,6.852087,79.924855
Mahiyangana,7.331709,81.004757
Majestic City,6.8939546,79.8547111
Malabe,6.906255,79.969572
Mallavi,9.139475,80.30259
Manampitiya,7.905194,81.131263
Manipay,9.729381,79.992671
Mankulam (Mullaitivu),9.136677,80.44527
Mannar,8.980954,79.904411
Maradana Railway,6.928352,79.864522
Maradana Technical College,6.931907,79.859436
Maradankadawala,8.116847,80.560564
Maravila,7.425076,79.834397
Maritime Museum,6.9386565,79.84243169999999
Maskeliya,6.832989,80.57081
Matale,7.467456,80.62346
Matara Town,5.954982,80.554984
Matugama,6.521658,80.113396
Mawanella,7.248027,80.446538
Mawarala,6.200939,80.591132
Medawachchiya,8.537528,80.491
Meepe,6.855496,80.093077
Meesalai,9.674086,80.196297
Melsiripura,7.645223,80.508962
Middeniya,6.251365,80.764164
Mihintale,8.349322,80.499433
Minuwangoda,7.18467,79.950485
Mirigama,7.24256,80.12688
Mirihana,6.868823,79.904024
Mirissa,5.948835,80.471388
Modera (Colombo),6.96673,79.870954
Monaragala Town,6.890609,81.345751
Moragala,6.460772,80.180689
Morawaka,6.265528,80.491085
Mount Lavinia,6.830111,79.880029
Mount Lavinia Beach,6.8425826,79.86249529999999
Mudungoda,7.066703,80.012245
Mulankavil,9.233125,80.133252
Mullaitivu,9.267078,80.815136
Mullaittivu,9.267078,80.815136
Mullikulam Beach,8.583504,79.920121
Mutur,8.457935,81.268342
Nagoda Junction (Kalutara),6.568714,79.989258
Naiwala (Gampaha),7.158368,80.031554
Nambapana,6.740631,80.188511
Nanattan,8.835579,79.967582
Narahenpita Police Station,6.892201,79.876619
Narammala,7.432574,80.215347
National Museum,6.910455499999999,79.8609925
Naula (Matale),7.707089,80.653589
Navakkuli,9.660978,80.080713
Nawala,6.896443,79.888512
Nawalapitiya,7.04265,80.51792
Nawinna,6.853407,79.91516
Negombo,7.200394,79.873695
Neluwa,6.373765,80.358218
New Kelani Bridge,6.954794,79.882238
Nittambuwa,7.142086,80.103806
Nonagama,6.125333,80.981603
Noori (Ratnapura),6.705573,80.384735
Norton Bridge (Nuwara Eliya),6.911061,80.521784
Norwood (Nuwara Eliya),6.838009,80.614392
Nugegoda Railway,6.871739,79.891003
Nuwara Eliya,6.949613,80.789051
Ohiya,6.818911,80.844692
Old Parliament,6.9311095,79.8430296
Padaviya,8.834442,80.760735
Padeniya,7.655683,80.220801
Padiyathalawa,7.393068,81.244471
Pagoda (Nugegoda_ Colombo),6.882018,79.895466
Palali,9.797802,80.09073
Palampiddi,8.921937,80.212362
Pallegama (Matale),7.542609,80.826786
Pamunuwa,6.858878,79.931912
Panadura Clock Tower Junction,6.712379,79.907549
Panama (Ampara),6.758145,81.808794
Pannipitiya,6.843258,79.955527
Paradise Road,6.916458899999999,79.8622067
Paranthan,9.441416,80.404696
Parayanalankulam,8.746118,80.192581
Passara,6.935054,81.152616
Pasyala,7.16659,80.123155
Pathana Junction,6.947539,80.630058
Pattipola,6.856001,80.831231
Pelawatta (Kalutara),6.400501,80.21206
Peliyagoda Interchange,6.968071,79.892167
Pelmadulla,6.634276,80.529809
Peradeniya,7.269872,80.593904
Pettah Floating Market,6.9326441,79.8553226
Piliyandala,6.801813,79.922697
Pinnaduwa Interchange,6.068907,80.264287
Pitakotte,6.880684,79.905307
Pitakumbura,7.17934,81.292503
Pitawala Pathana,7.547745,80.753447
Pitigala,6.341946,80.237714
Planetarium,6.9006972,79.8628492
Point Pedro,9.793727,80.220974
Polgahawela,7.32832,80.293038
Polonnaruwa,7.940442,81.018865
Ponnalai,9.749573,79.918174
Pooneryn,9.503223,80.211318
Pottuvil,6.875311,81.830546
Public Library (Colombo),6.912612,79.85799
Pugoda,6.975019,80.118106
Puliyankulam (Vavuniya),8.973821,80.527051
Pulmoddai,8.944413,80.982749
Pulmuddai,8.944413,80.982749
Punchi Borella Junction,6.921283,79.871261
Punkudutivu,9.589969,79.823901
Puttalam,8.040791,79.839379
Puttur (Jaffna),9.745263,80.10461
Radawana,7.032024,80.093294
Ragala,7.011082,80.855473
Ragama,7.028001,79.923055
Rakwana,6.46501,80.615989
Rambewa,8.439985,80.504586
Ramboda,7.057262,80.694867
Randenigala,7.199541,80.925055
Rasambula (Colombo),6.876932,79.926407
Rassagala (Ratnapura),6.692338,80.637921
Rathmalana,6.819437,79.880143
Ratnapura,6.705573,80.384735
Rattota,7.517161,80.671443
Rawatawatta Junction,6.788143,79.885115
Rikiligaskada,7.148762,80.790492
Royal College,6.9048539,79.8611708
Royal Colombo Golf Course,6.905226799999999,79.8841999
Ruwanwella,7.045809,80.253683
Saliyawewa,8.193186,80.093761
Saskia Fernando Gallery,6.911709800000001,79.86860039999999
Seeduwa Junction,7.132294,79.876002
Seema Malakaya,6.9168768,79.85454560000001
Sella Kataragama,6.437344,81.298678
Serunuwara,8.325185,81.300317
Situlpawwa,6.3871,81.44893
Siyambalanduwa,6.9072,81.560968
Somawathiya,8.118689,81.167398
Sri Jayewardenepura,6.886731,79.918168
St. Anthonys Shrine,6.9467336,79.8561711
St. Josephs College,6.9252986,79.86064209999999
St. Lucias Cathedral,6.948135799999999,79.86436259999999
St. Thomas College,6.8374503,79.8660067
Sungawila,8.075784,81.091368
Talaimannar,9.083462,79.734278
Talawatugoda,6.875863,79.939095
Talpe,6.00151,80.279476
Tambala (Polonnaruwa),8.009376,81.069695
Tambuttegama,8.153991,80.304623
Tangalle,6.024469,80.794138
Tennekumbura,7.283238,80.661807
Thalapathpitiya,6.869364,79.92346
Thanamalwila,6.439772,81.133871
Thihagoda,6.013382,80.566036
Thirukkondaiadimadu,7.944777,81.506827
Thoniyagala,8.087851,80.573566
Thorana Junction,6.966847,79.899775
Thummulla,6.898795,79.860705
Tiruwanaketiya,6.666494,80.430497
Tissamaharama,6.279208,81.286809
Town Hall (Colombo),6.915622,79.863491
Trikonamadu Nature Reserve,8.145641,81.280359
Trincomalee,8.587357,81.215207
Uda Pussellawa,7.000071,80.90413
Udahamulla,6.866546,79.9151
Udawalawe,6.418768,80.823746
Udugampola,7.126215,79.977274
Udupussellawa,7.000016,80.904268
Uhana (Ampara),7.363351,81.635416
Uraniya,7.233566,81.109765
Urapola,7.097954,80.144597
Urban Wetland Park,6.878451699999999,79.89134159999999
Urugodawatte,6.945256,79.881634
Uwella,6.701432,80.616801
Vakarai,8.137137,81.434906
Vavuniya,8.754222,80.498245
Vellankulam,9.186235,80.125896
Verugal,8.25494,81.371506
Veyangoda,7.154069,80.059391
Vidataltivu,9.021708,80.050603
Viharamahadevi Park,6.9133907,79.86174009999999
Visuvamadu,9.376741,80.546576
Walapane,7.102977,80.86139
Walasmulla,6.150795,80.693601
Warakapola,7.226838,80.195964
Wariyapola,7.623887,80.243227
Waskaduwa,6.627488,79.942864
Watawala,6.944881,80.538948
Weddagala,6.464692,80.432153
Weerawila,6.242236,81.228908
Weligama,5.977126,80.428417
Welikada Plaza,6.909518,79.895842
Welikada Prison,6.920871,79.878242
Welimada,6.902658,80.90935
Welioya,8.966119,80.787883
Welipenna Exit,6.452535,80.088743
Welisara,7.027629,79.898302
Wellampitiya,6.942595,79.904469
Wellawatta,6.874182,79.860471
Wellawaya,6.737356,81.103127
Wewelwatte,6.705266,80.476105
Wewelwatte Junction,6.705654,80.55576
Wolvendaal Church,6.9420848,79.859072
Yakkala,7.086195,80.033679
Yala Wildlife Office,6.363269,81.518092