Row (On IRD Website),Name of the Charitable Institute ,Website,Gazette No ,Gazette Date,Donate Offline,Donate Online
17,St. Joseph’s Educational Foundation for the Hearing Impaired,https://www.candleaid.org/our-projects/completed-projects/st-josephs-school-for-the-hearing-impaired/,1554,13.06.2008,YES,YES
71,​HelpAge Sri Lanka,https://www.helpagesl.org/,​497,​11.03.1988,YES,YES
62,Prithipura Infants Home,https://www.prithipura.org/,7/1638,22.01.2010,YES,YES
2,Sri Lanka Cancer Society,https://www.slcs.lk/,,,YES,YES
49,SOS Children’s Villages Sri Lanka,https://www.soschildrensvillages.lk/,496,04.03.1988,YES,YES
11,"Seemasahitha Matara, Arogya Seva Samithiya",http://arogyasewa.org/,14797,11.04.1968,YES,
79,Canadapura Children’s Home,http://canadapura.com/Projects/CanadapuraVillage,71072,23.10.2018,YES,
54,Siyane Korale East – Social Service League  Obesekara Elders Home,http://www.achome.lk/,1337,16.04.2004,YES,
81,Centre For Handicapped,http://www.cfhsrilanka.org/,2144/23,09.10.2018,YES,
25,Udaya Children’s home,http://www.udayalamanivasaya.org/,1313,31.10.2003,YES,
4,Colombo Friend-in-Need Society,https://cfins.org/,"D.S.221/50, No. 84/3/11 (ET/DO)",11.12.1951,YES,
19,Colombo Young Men’s Buddhist Association,https://colomboymba.org/,Chapter 399 ordinance - 11,29.09.1927,YES,
72,​Hospital Services Council,https://hsclk.org/,​458,12.06.1987​,YES,
22,Sri Lankadhara Society Limited,https://srilankadhara.org/,10596,09.10.1953,YES,
68,The Ceylon Moor Ladies Union,https://www.cmlu.lk/,305,17.02.1978,YES,
5,FRIDSRO Children's Home,https://www.facebook.com/FridsroSriLanka,143,29.05.1981,YES,
23,YMBA Maharagama,https://www.ymbamaharagama.org/,1299,25.07.2003,YES,
58,Kandy Friend-in-need society,http://kandyfriendinneed.blogspot.com/,,,,
77,​Ethanamadala Sahana Elders Home,http://sahanaudaya.org/,​2127/14,12.06.2019,,
33,Sri Lanka Technical Institute & Diyagala Boy’s town,http://www.diyagalaboystown.slt.lk/,14860,27.06.1969,,
21,Moors” Islamic Cultural Home,http://www.michsl.org/,10490,23.01.1953,,
14,Sahanoda Elders Home,http://www.sahanaudaya.org/,31 (7) (a) I R Act,04.04.2001,,
6,Sisters of Charity of Jesus and Mary,http://www.scjm.lk/,833,19.081994,,
24,Kanadarawa Thapowana Vihara Building Fund,http://www.thapowanaya.org/,,,,
51,Hindu Bord of Education,http://www.thehinduboard.org/,10857,04.11.1955,,
35,The Brave Hearts Fund of the Seva Vanitha Army Unit,https://alt.army.lk/sevavanitha/,1698,18.03.2011,,
80,Cancer Care Association - Sri Lanka,https://cancercaresl.com/,2142/81,27.09.2019,,
16,Sudaya Trust,https://dayamina.weebly.com/about.html,07/624,30.07.1993,,
75,​Moratuwa Social Service Society (Elders Home),https://homeforelders.wordpress.com/contact-us/,​1982/39,02.09.2016,,
43,Little Sisters of the Poor,https://mclloydbis.com/profile/237768/little-sisters-of-the-poor.html?fbclid=IwAR3Xnr6tWDPCO40pO-vJPdEkOQ4V5959e58lXcP6s5ghaGVrKuqmMfqV2JU,IRD Act No 28 of 1979(02-573),24.02.1994,,
67,Ramakrishna Sarada Mission,https://rsmlanka.webs.com/,3-669/3  ,16.03.1973,,
45,Shilpa Children’s Trust,https://shilpa.org/,513,01.07.1988,,
55,All Ceylon Buddhist Congress,https://www.acbc.lk/,10812,01.07.1955,,
1,Hindu Women’s Society Limited Colombo,https://www.facebook.com/CYWHA/,10693,16.07.1954,,
66,Isha Athul Islam Home for the Orphans,https://www.facebook.com/pg/ishaathulislam,43/83 ,23.08.1984,,
27,Kalutara Bodhi Trust,https://www.kalutarabodhiya.org/,368,20.09.1985,,
39,Mallika Nivasa Samithiya (Society) Limited,https://www.mallikahomes.org/,10889,03.02.1956,,
20,Saviya Development Foundation,https://www.peaceinsight.org/en/organisations/sdf/,90/0476-26,04.12.1995,,
7,"Rohana (blind, deaf )Special School and Hostel",https://www.rohanaspecialschool.org/,LDB 7/13,04.10.1972,,
28,Seemasahitha Sarvodaya Suwasetha Seva Samithiya,https://www.sarvodayasuwasetha.org/,462,09.07.1987,,
9,Amaraseela Elders’ Home,,618,06.07.1990,,
64,Angel Foundation,,,,,
63,Anuradapura Deaf & Blind school Society Ltd,,387,31.01.1986,,
76,​Appeal for Children Committee of Ceylon,,​10782,,,
8,Charles & Roslene Fernando Trust,,ACT No. 28 of 1979,1997 April;,,
53,Children’s Corner Orphanage ,,38 of 2000,27.06.2003,,
36,Community Development & Social Services Project of the Church of St. Mary & St. John,,3-435 – Gazete No. 186,26.03.1092,,
26,Dev Suwa Sevawa,,185,10.10.1975,,
42,Don Bosco Boy’s Home,,1192,06.07.2001,,
61,Don Bosco Trust,,1541,14.03.2008,,
44,Friends of Marscri,,462,09.07.1987,,
48,Galkissa Buddha Samithiya Sri Senarath Gunawardana Children’s Development Centre,,14892,27.01.1970,,
47,Gamsiri Uda Samithiya Limited,,246,31.12.1976,,
10,"Hanwella Social Services Society, Sende Sarana Elders Home",,425,24.10.1986,,
32,Jagaddala Social Welfare Institute,,1660,24.06.2010,,
70,Kaluthara Buddhist society,,,​​​​​​​​​,,
50,Kandy Buddhist Women Society Jajawickrema Lama Nivasa,,,,,
78,Lotus Hill Home for Disabled Children,,53601,21.11.2017,,
15,Maha Mahinda Dharmaduta Special Fund,,965/15/150(SB/EP),28.03.1964,,
60,Mahabodhi Society of Ceylon,,777,18.06.1999,,
29,Matara Bauddha Kantha Samithiya,,10947,06.07.1956,,
12,Matugama Social Services Society Ltd,,1063/16,21.01.1999,,
56,Methodist Trust Association of Ceylon,,237/20,25.03.1983,,
3,Muhandiram D F Perera Abayasiriwardhana Elders Home,,,,,
52,Muslim Ladies Arabic College Managing Society,,13998,28.03.1964,,
69,Panadura Child Welfare & social Service League  ( Morawinna Girls home),,10490 ,23.01.1953,,
37,Pihimbiyahena Elder’s Home,,1584,09.01.2009,,
13,Piliyandala Young Men’s Buddhist Association,,28,16.03.1979,,
31,Pradeepaloka Buddhist Balika Home,,1842,31.12.1965,,
18,Sarana Nikethanaya,,1395,27.05.2005,,
41,Sarana Women’s Elderly Home,,IRD Act No. 34(2)(a) of N0. 10 of 2006,27.02.2008,,
46,Shanthi Nivasa,,1667,13.08.2010,,
74,​Special Educational Service Society,,​411,18.07.1986​,,
30,Sri Paramananda Children’s & Elder’s Home,,14930,30.10.1970,,
34,Sri Punyawardhana Samithiya,,13998,28.03.1964,,
38,Sri Sucharithadhara Upasika Samithiya Ltd,,10947,,,
40,St/ Margaret Home,,10​468,07.11.1952,,
73,​The Ceylon School For the Deaf and Blind,,"​10,411",06.06.1952​,,
65,The King George the fifth Silver Jubilee Commemoration society,,10332 ,21.12.1951​,,
57,The Oblates of Mary Immaculata Province of Sri Lanka ,,305 of 84.07.06,13.06.1984,,
59,The Senkadagala Deaf & Blind Society Ltd,,,31.01.1969,,