gics_type,company_name,symbol,
Energy,LANKA IOC PLC,LIOC.N0000,
Energy,LAUGFS GAS PLC,LGL.X0000,
Energy,LAUGFS GAS PLC,LGL.N0000,
Materials,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,
Materials,CIC HOLDINGS PLC,CIC.X0000,
Materials,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,
Materials,CHEMANEX PLC,CHMX.N0000,
Materials,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,
Materials,ALUMEX PLC,ALUM.N0000,
Materials,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,
Materials,SWISSTEK (CEYLON) PLC,PARQ.N0000,
Materials,ACME PRINTING & PACKAGING PLC,ACME.N0000,
Materials,SAMSON INTERNATIONAL PLC,SIL.N0000,
Materials,HAYCARB PLC,HAYC.N0000,
Materials,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,
Materials,AGSTAR PLC,AGST.N0000,
Materials,CIC HOLDINGS PLC,CIC.N0000,
Materials,DIPPED PRODUCTS PLC,DIPD.N0000,
Materials,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,
Materials,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,
Materials,RICHARD PIERIS EXPORTS PLC,REXP.N0000,
Materials,ACL PLASTICS PLC,APLA.N0000,
Materials,UNION CHEMICALS LANKA PLC,UCAR.N0000,
Materials,AGSTAR PLC,AGST.X0000,
Materials,ADAM CAPITAL PLC,PCHH.N0000,
Materials,LANKA CEMENT PLC,LCEM.N0000,
Capital Goods,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,
Capital Goods,SOFTLOGIC HOLDINGS PLC,SHL.N0000,
Capital Goods,SIERRA CABLES PLC,SIRA.N0000,
Capital Goods,LANKA WALLTILES PLC,LWL.N0000,
Capital Goods,ACCESS ENGINEERING PLC,AEL.N0000,
Capital Goods,MACKWOODS ENERGY PLC,MEL.N0000,
Capital Goods,CENTRAL INDUSTRIES PLC,CIND.N0000,
Capital Goods,COLOMBO DOCKYARD PLC,DOCK.N0000,
Capital Goods,THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,
Capital Goods,LANKA TILES PLC,TILE.N0000,
Capital Goods,ACL CABLES PLC,ACL.N0000,
Capital Goods,ROYAL CERAMICS LANKA PLC,RCL.N0000,
Capital Goods,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,
Capital Goods,HEMAS HOLDINGS PLC,HHL.N0000,
Capital Goods,RENUKA HOLDINGS PLC,RHL.N0000,
Capital Goods,LANKEM CEYLON PLC,LCEY.N0000,
Capital Goods,JOHN KEELLS HOLDINGS PLC,JKH.N0000,
Capital Goods,HAYLEYS PLC,HAYL.N0000,
Capital Goods,VALLIBEL ONE PLC,VONE.N0000,
Capital Goods,AITKEN SPENCE PLC,SPEN.N0000,
Capital Goods,RENUKA HOLDINGS PLC,RHL.X0000,
Capital Goods,BROWN & COMPANY PLC,BRWN.N0000,
Capital Goods,LANKA CERAMIC PLC,CERA.N0000,
Capital Goods,UNISYST ENGINEERING PLC,ALUF.N0000,
Capital Goods,LAXAPANA BATTERIES PLC,LITE.N0000,
Capital Goods,KELANI CABLES PLC,KCAB.N0000,
Capital Goods,OFFICE EQUIPMENT PLC,OFEQ.N0000,
Capital Goods,MTD WALKERS PLC,KAPI.N0000,
Capital Goods,LANKA ASHOK LEYLAND PLC,ASHO.N0000,
Capital Goods,E B CREASY & COMPANY PLC,EBCR.N0000,
Commercial & Professional Services,GESTETNER OF CEYLON PLC,GEST.N0000,
Commercial & Professional Services,PRINTCARE PLC,CARE.N0000,
Commercial & Professional Services,CEYLON PRINTERS PLC,CPRT.N0000,
Commercial & Professional Services,PARAGON CEYLON PLC,PARA.N0000,
Commercial & Professional Services,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,
Transportation,EXPOLANKA HOLDINGS PLC,EXPO.N0000,
Transportation,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,
Automobiles & Components,KELANI TYRES PLC,TYRE.N0000,
Consumer Durables & Apparel,DANKOTUWA PORCELAIN PLC,DPL.N0000,
Consumer Durables & Apparel,TEEJAY LANKA PLC,TJL.N0000,
Consumer Durables & Apparel,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,
Consumer Durables & Apparel,HAYLEYS FABRIC PLC,MGT.N0000,
Consumer Durables & Apparel,AMBEON HOLDINGS PLC,GREG.N0000,
Consumer Durables & Apparel,AMBEON CAPITAL PLC,TAP.N0000,
Consumer Durables & Apparel,REGNIS(LANKA) PLC,REG.N0000,
Consumer Durables & Apparel,HAYLEYS FIBRE PLC,HEXP.N0000,
Consumer Durables & Apparel,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,
Consumer Durables & Apparel,ABANS ELECTRICALS PLC,ABAN.N0000,
Consumer Durables & Apparel,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,
Consumer Durables & Apparel,KELSEY DEVELOPMENTS PLC,KDL.N0000,
Consumer Durables & Apparel,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,
Consumer Services,JOHN KEELLS HOTELS PLC,KHL.N0000,
Consumer Services,BERUWALA RESORTS PLC,BERU.N0000,
Consumer Services,WASKADUWA BEACH RESORT PLC,CITW.N0000,
Consumer Services,HIKKADUWA BEACH RESORT PLC,CITH.N0000,
Consumer Services,TAL LANKA HOTELS PLC,TAJ.N0000,
Consumer Services,MARAWILA RESORTS PLC,MARA.N0000,
Consumer Services,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,
Consumer Services,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,
Consumer Services,BROWNS BEACH HOTELS PLC,BBH.N0000,
Consumer Services,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,
Consumer Services,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,
Consumer Services,CITRUS LEISURE PLC,REEF.N0000,
Consumer Services,AMAYA LEISURE PLC,CONN.N0000,
Consumer Services,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,
Consumer Services,SERENDIB HOTELS PLC,SHOT.N0000,
Consumer Services,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,
Consumer Services,THE KINGSBURY PLC,SERV.N0000,
Consumer Services,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,
Consumer Services,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,
Consumer Services,JETWING SYMPHONY PLC,JETS.N0000,
Consumer Services,MAHAWELI REACH HOTELS PLC,MRH.N0000,
Consumer Services,RENUKA HOTELS PLC,RCH.N0000,
Consumer Services,RENUKA CITY HOTEL PLC,RENU.N0000,
Consumer Services,ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,
Consumer Services,THE FORTRESS RESORTS PLC,RHTL.N0000,
Consumer Services,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,
Consumer Services,SERENDIB HOTELS PLC,SHOT.X0000,
Consumer Services,DOLPHIN HOTELS PLC,STAF.N0000,
Consumer Services,RAMBODA FALLS PLC,RFL.N0000,
Consumer Services,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,
Consumer Services,HUNAS FALLS HOTELS PLC,HUNA.N0000,
Consumer Services,TRANS ASIA HOTELS PLC,TRAN.N0000,
Consumer Services,HOTEL SIGIRIYA PLC,HSIG.N0000,
Consumer Services,PALM GARDEN HOTELS PLC,PALM.N0000,
Consumer Services,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,
Consumer Services,TANGERINE BEACH HOTELS PLC,TANG.N0000,
Consumer Services,EDEN HOTEL LANKA PLC,EDEN.N0000,
Retailing,R I L PROPERTY PLC,RIL.N0000,
Retailing,CEYLON TEA BROKERS PLC,CTBL.N0000,
Retailing,EASTERN MERCHANTS PLC,EMER.N0000,
Retailing,C M HOLDINGS PLC,COLO.N0000,
Retailing,ODEL PLC,ODEL.N0000,
Retailing,SINGER (SRI LANKA) PLC,SINS.N0000,
Retailing,UNITED MOTORS LANKA PLC,UML.N0000,
Retailing,C. W. MACKIE PLC,CWM.N0000,
Retailing,HUNTERS & COMPANY PLC,HUNT.N0000,
Retailing,JOHN KEELLS PLC,JKL.N0000,
Retailing,SATHOSA MOTORS PLC,SMOT.N0000,
Retailing,THE AUTODROME PLC,AUTO.N0000,
Retailing,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,
Food & Staples Retailing,TESS AGRO PLC,TESS.N0000,
Food & Staples Retailing,TESS AGRO PLC,TESS.X0000,
Food & Staples Retailing,CARGILLS (CEYLON) PLC,CARG.N0000,
Food & Staples Retailing,C T HOLDINGS PLC,CTHR.N0000,
Food & Staples Retailing,CEYLON & FOREIGN TRADES PLC,CFT.N0000,
Food, Beverage & Tobacco,BROWNS INVESTMENTS PLC,BIL.N0000
Food, Beverage & Tobacco,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000
Food, Beverage & Tobacco,LANKEM DEVELOPMENTS PLC,LDEV.N0000
Food, Beverage & Tobacco,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000
Food, Beverage & Tobacco,MELSTACORP PLC,MELS.N0000
Food, Beverage & Tobacco,RENUKA AGRI FOODS PLC,RAL.N0000
Food, Beverage & Tobacco,BAIRAHA FARMS PLC,BFL.N0000
Food, Beverage & Tobacco,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000
Food, Beverage & Tobacco,NESTLE LANKA PLC,NEST.N0000
Food, Beverage & Tobacco,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000
Food, Beverage & Tobacco,CARSON CUMBERBATCH PLC,CARS.N0000
Food, Beverage & Tobacco,KOTMALE HOLDINGS PLC,LAMB.N0000
Food, Beverage & Tobacco,HVA FOODS PLC,HVA.N0000
Food, Beverage & Tobacco,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000
Food, Beverage & Tobacco,TALAWAKELLE TEA ESTATES PLC,TPL.N0000
Food, Beverage & Tobacco,KEELLS FOOD PRODUCTS PLC,KFP.N0000
Food, Beverage & Tobacco,LANKA MILK FOODS (CWE) PLC,LMF.N0000
Food, Beverage & Tobacco,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000
Food, Beverage & Tobacco,CEYLON TOBACCO COMPANY PLC,CTC.N0000
Food, Beverage & Tobacco,BALANGODA PLANTATIONS PLC,BALA.N0000
Food, Beverage & Tobacco,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000
Food, Beverage & Tobacco,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000
Food, Beverage & Tobacco,ELPITIYA PLANTATIONS PLC,ELPL.N0000
Food, Beverage & Tobacco,THREE ACRE FARMS PLC,TAFL.N0000
Food, Beverage & Tobacco,KOTAGALA PLANTATIONS PLC,KOTA.N0000
Food, Beverage & Tobacco,MALWATTE VALLEY PLANTATIONS PLC,MAL.X0000
Food, Beverage & Tobacco,SUNSHINE HOLDINGS PLC,SUN.N0000
Food, Beverage & Tobacco,RENUKA FOODS PLC,COCO.N0000
Food, Beverage & Tobacco,WATAWALA PLANTATIONS PLC,WATA.N0000
Food, Beverage & Tobacco,KAHAWATTE PLANTATIONS PLC,KAHA.N0000
Food, Beverage & Tobacco,HATTON PLANTATIONS PLC,HPL.N0000
Food, Beverage & Tobacco,MASKELIYA PLANTATIONS PLC,MASK.N0000
Food, Beverage & Tobacco,MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000
Food, Beverage & Tobacco,RENUKA FOODS PLC,COCO.X0000
Food, Beverage & Tobacco,CEYLON COLD STORES PLC,CCS.N0000
Food, Beverage & Tobacco,MADULSIMA PLANTATIONS PLC,MADU.N0000
Food, Beverage & Tobacco,KEGALLE PLANTATIONS PLC,KGAL.N0000
Food, Beverage & Tobacco,AGALAWATTE PLANTATIONS PLC,AGAL.N0000
Food, Beverage & Tobacco,BUKIT DARAH PLC,BUKI.N0000
Food, Beverage & Tobacco,LION BREWERY CEYLON PLC,LION.N0000
Food, Beverage & Tobacco,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000
Food, Beverage & Tobacco,HARISCHANDRA MILLS PLC,HARI.N0000
Food, Beverage & Tobacco,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000
Food, Beverage & Tobacco,CONVENIENCE FOODS (LANKA )PLC,SOY.N0000
Food, Beverage & Tobacco,HORANA PLANTATIONS PLC,HOPL.N0000
Food, Beverage & Tobacco,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000
Food, Beverage & Tobacco,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000
Food, Beverage & Tobacco,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000
Food, Beverage & Tobacco,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000
Food, Beverage & Tobacco,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000
Household & Personal Products,BROWNS INVESTMENTS PLC,BIL.N0000,
Household & Personal Products,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,
Household & Personal Products,LANKEM DEVELOPMENTS PLC,LDEV.N0000,
Household & Personal Products,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,
Household & Personal Products,MELSTACORP PLC,MELS.N0000,
Household & Personal Products,RENUKA AGRI FOODS PLC,RAL.N0000,
Household & Personal Products,BAIRAHA FARMS PLC,BFL.N0000,
Household & Personal Products,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,
Household & Personal Products,NESTLE LANKA PLC,NEST.N0000,
Household & Personal Products,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,
Household & Personal Products,CARSON CUMBERBATCH PLC,CARS.N0000,
Household & Personal Products,KOTMALE HOLDINGS PLC,LAMB.N0000,
Household & Personal Products,HVA FOODS PLC,HVA.N0000,
Household & Personal Products,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,
Household & Personal Products,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,
Household & Personal Products,KEELLS FOOD PRODUCTS PLC,KFP.N0000,
Household & Personal Products,LANKA MILK FOODS (CWE) PLC,LMF.N0000,
Household & Personal Products,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,
Household & Personal Products,CEYLON TOBACCO COMPANY PLC,CTC.N0000,
Household & Personal Products,BALANGODA PLANTATIONS PLC,BALA.N0000,
Household & Personal Products,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,
Household & Personal Products,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,
Household & Personal Products,ELPITIYA PLANTATIONS PLC,ELPL.N0000,
Household & Personal Products,THREE ACRE FARMS PLC,TAFL.N0000,
Household & Personal Products,KOTAGALA PLANTATIONS PLC,KOTA.N0000,
Health Care Equipment & Services,B P P L HOLDINGS PLC,BPPL.N0000,
Health Care Equipment & Services,SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,
Banks,SEYLAN BANK PLC,SEYB.X0000,
Banks,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,
Banks,SAMPATH BANK PLC,SAMP.N0000,
Banks,HATTON NATIONAL BANK PLC,HNB.N0000,
Banks,DFCC BANK PLC,DFCC.N0000,
Banks,NATIONS TRUST BANK PLC,NTB.N0000,
Banks,AMANA BANK PLC,ABL.N0000,
Banks,SANASA DEVELOPMENT BANK PLC,SDB.N0000,
Banks,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,
Banks,UNION BANK OF COLOMBO PLC,UBC.N0000,
Banks,SEYLAN BANK PLC,SEYB.N0000,
Banks,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,
Banks,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,
Banks,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,
Banks,HATTON NATIONAL BANK PLC,HNB.X0000,
Banks,NATIONS TRUST BANK PLC,NTB.X0000,
Diversified Financials,LOLC FINANCE PLC,LOFC.N0000,
Diversified Financials,PRIME FINANCE PLC,GSF.N0000,
Diversified Financials,ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,
Diversified Financials,ASIA ASSET FINANCE PLC,AAF.N0000,
Diversified Financials,LOLC HOLDINGS PLC,LOLC.N0000,
Diversified Financials,ARPICO FINANCE COMPANY PLC,ARPI.N0000,
Diversified Financials,RENUKA CAPITAL PLC,KZOO.N0000,
Diversified Financials,ABANS FINANCE PLC,AFSL.N0000,
Diversified Financials,L B FINANCE PLC,LFIN.N0000,
Diversified Financials,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,
Diversified Financials,ASIA CAPITAL PLC,ACAP.N0000,
Diversified Financials,VALLIBEL FINANCE PLC,VFIN.N0000,
Diversified Financials,NATION LANKA FINANCE PLC,CSF.N0000,
Diversified Financials,SMB LEASING PLC,SEMB.N0000,
Diversified Financials,ORIENT FINANCE PLC,BFN.N0000,
Diversified Financials,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,
Diversified Financials,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,
Diversified Financials,SINHAPUTHRA FINANCE PLC,SFL.P0000,
Diversified Financials,PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,
Diversified Financials,HNB FINANCE PLC,HNBF.N0000,
Diversified Financials,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,
Diversified Financials,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,
Diversified Financials,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,
Diversified Financials,LANKA VENTURES PLC,LVEN.N0000,
Diversified Financials,SINHAPUTHRA FINANCE PLC,SFL.N0000,
Diversified Financials,DIALOG FINANCE PLC,CALF.N0000,
Diversified Financials,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,
Diversified Financials,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,
Diversified Financials,TRADE FINANCE & INVESTMENTS PLC,TFIL.N0000,
Diversified Financials,SINGER FINANCE (LANKA) PLC,SFIN.N0000,
Diversified Financials,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,
Diversified Financials,CEYLON INVESTMENT PLC,CINV.N0000,
Diversified Financials,SOFTLOGIC FINANCE PLC,CRL.N0000,
Diversified Financials,SMB LEASING PLC,SEMB.X0000,
Diversified Financials,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,
Diversified Financials,HNB FINANCE PLC,HNBF.X0000,
Diversified Financials,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,
Diversified Financials,MULTI FINANCE PLC,MFL.N0000,
Diversified Financials,BIMPUTH FINANCE PLC,BLI.N0000,
Diversified Financials,ADAM INVESTMENTS PLC,AINV.N0000,
Diversified Financials,SENKADAGALA FINANCE PLC,SFCL.N0000,
Diversified Financials,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,
Diversified Financials,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,
Diversified Financials,LOLC DEVELOPMENT FINANCE PLC,NIFL.N0000,
Diversified Financials,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,
Diversified Financials,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,
Diversified Financials,THE FINANCE COMPANY PLC,TFC.X0000,
Diversified Financials,SHALIMAR (MALAY) PLC,SHAL.N0000,
Diversified Financials,THE FINANCE COMPANY PLC,TFC.N0000,
Diversified Financials,SELINSING PLC,SELI.N0000,
Diversified Financials,INDO MALAY PLC,INDO.N0000,
Diversified Financials,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,
Diversified Financials,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,
Diversified Financials,GOOD HOPE PLC,GOOD.N0000,
Insurance,JANASHAKTHI INSURANCE PLC,JINS.N0000,
Insurance,SOFTLOGIC CAPITAL PLC,SCAP.N0000,
Insurance,PEOPLE'S INSURANCE PLC,PINS.N0000,
Insurance,ARPICO INSURANCE PLC,AINS.N0000,
Insurance,AMANA TAKAFUL LIFE PLC,ATLL.N0000,
Insurance,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,
Insurance,UNION ASSURANCE PLC,UAL.N0000,
Insurance,AMANA TAKAFUL PLC,ATL.N0000,
Insurance,CEYLINCO INSURANCE PLC,CINS.X0000,
Insurance,HNB ASSURANCE PLC,HASU.N0000,
Insurance,CEYLINCO INSURANCE PLC,CINS.N0000,
Telecommunication Services,DIALOG AXIATA PLC,DIAL.N0000,
Telecommunication Services,SRI LANKA TELECOM PLC,SLTL.N0000,
Utilities,LAUGFS POWER PLC,LPL.X0000,
Utilities,VIDULLANKA PLC,VLL.N0000,
Utilities,LAUGFS POWER PLC,LPL.N0000,
Utilities,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,
Utilities,PANASIAN POWER PLC,PAP.N0000,
Utilities,LOTUS HYDRO POWER PLC,HPFL.N0000,
Utilities,RESUS ENERGY PLC,HPWR.N0000,
Utilities,LVL ENERGY FUND PLC,LVEF.N0000,
Real Estate,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,
Real Estate,COLOMBO LAND & DEVELOPMENT COMPANY PLC,CLND.N0000,
Real Estate,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,
Real Estate,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,
Real Estate,SEYLAN DEVELOPMENTS PLC,CSD.N0000,
Real Estate,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,
Real Estate,EAST WEST PROPERTIES PLC,EAST.N0000,
Real Estate,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,
Real Estate,SERENDIB LAND PLC,SLND.N0000,
Real Estate,YORK ARCADE HOLDINGS PLC,YORK.N0000,
Real Estate,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,
Real Estate,C T LAND DEVELOPMENT PLC,CTLD.N0000,
Real Estate,ON'ALLY HOLDINGS PLC,ONAL.N0000,
Real Estate,LEE HEDGES PLC,SHAW.N0000,
Real Estate,STANDARD CAPITAL PLC,SING.N0000,
Real Estate,PROPERTY DEVELOPMENT PLC,PDL.N0000,
Real Estate,CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,
Real Estate,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,
Real Estate,EQUITY TWO PLC,ETWO.N0000,