province	division	num	id_list	police_station	phone_mobile	phone_office	fax
Western	Colombo Central	1	LK-1103115	Pettah	071-8591555	011-2323677	011-2421515
Western	Colombo Central	2	LK-1103145	Keselwatta	071-8591556	011-2384091	011-2421944
Western	Colombo Central	3		Dam Street	071-8591557	-	011-2432612
Western	Colombo Central	4		Woulfendal	071-8591558	-	011-2323356
Western	Colombo Central	5	LK-1103120	Fort	071-8591560	011-2432635	011-2433744
Western	Colombo Central	6	LK-1103130	Slave Island	071-8591561	011-2384382	011-2433829
Western	Colombo Central	7	LK-1103165	Maradana	071-8591563	011-2692888	011-2692748
Western	Colombo Central	8	LK-1103090,LK-1103155	Maligawatta	071-8591564	011-2342041	011-2434135
Western	Colombo North	9		Colombo Harbour	071-8591567	011-2328903	011-2320980
Western	Colombo North	10		Fore shore	071-8591568	011-2436349	011-2434595
Western	Colombo North	11	LK-1103015	Modara	071-8591570	011-2523058	011-2524411
Western	Colombo North	12	LK-1103045,LK-1103050	Kotahena	071-8591571	011-2435653	011-2431861
Western	Colombo North	13	LK-1103010	Mattakkuliya	071-8591572	-	011-2521761
Western	Colombo North	14		Bluemandal	071-8591573	-	011-2522733
Western	Colombo North	15	LK-1103075,LK-1103080	Grandpass	071-8591575	011-2436258	011-2421414
Western	Colombo North	16	LK-1127030	Dematagoda	071-8591576	011-2693319	011-2693838
Western	Colombo South	17	LK-1127005	Kollupitiya	071-8591579	011-2320131	011-2323689
Western	Colombo South	18	LK-1127010	Bambalapitiya	071-8591580	011-2583208	011-2588680
Western	Colombo South	19	LK-1127080	Kirulapone	071-8591582	011-2514634	011-2513531
Western	Colombo South	20	LK-1127085,LK-1127090	Wellawatta	071-8591583	011-2364860	011-2588212
Western	Colombo South	21	LK-1127055	Narahenpita	071-8591584	011-2588638	011-2368242
Western	Colombo South	22		BMICH	071-8591586	011-2691140	011-2691132
Western	Colombo South	23	LK-1127045,LK-1127040	Borella	071-8591587	011-2694019	011-2693938
Western	Colombo South	24		Cinnamon Garden	071-8591588	011-2693377	011-2695411
Western	Kelaniya	25	LK-1236130,LK-1236135	Peliyagoda	071-8591592	011-2910608	011-2911222
Western	Kelaniya	26	LK-1236,LK-1236160	Kelaniya	071-8591593	011-2914666	011-2911922
Western	Kelaniya	27	LK-1221175,LK-1221180	Kandana	071-8591595	011-2236895	011-2236333
Western	Kelaniya	28	LK-1218,LK-1218180	Wattala	071-8591596	011-2932222	011-2930222
Western	Kelaniya	29	LK-1218080	Mahabage	071-8591597	-	011-2948469
Western	Kelaniya	30	LK-1239125	Sapugaskanda	071-8591599	011-2400316	011-2400315
Western	Kelaniya	31	LK-1239,LK-1239225,LK-1239160,LK-1239220,LK-1239165	Biyagama	071-8591600	011-2487306	011-2487574
Western	Kelaniya	32	LK-1236120,LK-1239030,LK-1239025,LK-1230390	Meegahawatta	071-8591601	-	011-2977233
Western	Kelaniya	33		Ja - Ela	071-8591603	011-2236131	011-2236222
Western	Kelaniya	34	LK-1221270	Ragama	071-8591604	011-2957197	011-2958222
Western	Kelaniya	35	LK-1236025	Kiribathgoda	071-8591606	011-2910494	011-2914985
Western	Kelaniya	36		Kadawatha	071-8591607	011-2925258	011-2925222
Western	Gampaha	37	LK-1224,LK-1224270,LK-1224070,LK-1224130	Gampaha	071-8591611	033-2222226	033-2222224
Western	Gampaha	38	LK-1215,LK-1215125,LK-1215120,LK-1215175	Minuwangoda	071-8591612	011-2295223	011-2295222
Western	Gampaha	39	LK-1230070	Kirindiwela	071-8591614	033-2267445	033-2267222
Western	Gampaha	40	LK-1230,LK-1230530	Dompe	071-8591615	011-2409922	011-2409222
Western	Gampaha	41		Pugoda	071-8591616	011-2405222	011-2405224
Western	Gampaha	42	LK-1224340,LK-1224335	Ganemulla	071-8591618	033-2260911	033-2260222
Western	Gampaha	43		Weeragula	071-8591619	033-2278020	033-2279442
Western	Gampaha	44	LK-1224495,LK-1224490,LK-1224485,LK-1224475	Weliweriya	071-8591620	033-2256105	033-2255222
Western	Gampaha	45	LK-1233080	Malwathuhiripitiya	071-8591621	-	033-2278800
Western	Gampaha	46	LK-1227105,LK-1227100,LK-1227095	Nittambuwa	071-8591623	033-2287225	033-2287224
Western	Gampaha	47		Weyangoda	071-8591624	033-2287223	033-2287222
Western	Gampaha	48		Meerigama	071-8591625	033-2274322	033-2273222
Western	Gampaha	49	LK-1212445	Pallewela	071-8592152	033-2271416	033-2271413
Western	Gampaha	50	LK-1224300,LK-1224305,LK-1224290,LK-1224280	Yakkala	071-8592153	-	033-2225924
Western	Negombo	51	LK-1203	Negombo	071-8591630	031-2224289	031-2222222
Western	Negombo	52	LK-1103055,LK-1103110	Kochchikade	071-8591631	031-2276338	031-2277222
Western	Negombo	53	LK-1306130	Pamunugama	071-8591633	011-2243494	011-2236340
Western	Negombo	54	LK-1209210	Kotadeniyawa	071-8591634	033-2240050	033-2272222
Western	Negombo	55		Diulapitiya	071-8591635	031-2247256	031-2246222
Western	Negombo	56	LK-1206330	Seeduwa	071-8591637	011-2253522	011-2253522
Western	Negombo	57	LK-1206300,LK-1206305,LK-1206310,LK-1206315	Raddolugama	071-8591638	-	011-2292857
Western	Negombo	58	LK-1206230,LK-1206225	Katunayaka	071-8591639	011-2252223	011-2252222
Western	Negombo	60	LK-1206,LK-1206035,LK-1206040,LK-1206030	Katana	071-8591710	031-2227740	031-2227735
Western	Negombo	61	LK-1203185	Dungalpitiya	071-8592186	031-2230889	031-2230888
Western	Nugegoda	62	LK-1121005,LK-1121010	Mirihana	071-8591644	011-2854853	011-2828566
Western	Nugegoda	63	LK-1121,LK-1121110,LK-1121105,LK-1121165	Maharagama	071-8591645	011-2850700	011-2850222
Western	Nugegoda	64	LK-1136055,LK-1136050,LK-1136065,LK-1136030,LK-1136035	Boralesgamuwa	071-8591646	011-2150779	011-2509461
Western	Nugegoda	65	LK-1106100	Wellampitiya	071-8591648	011-2695719	011-2572222
Western	Nugegoda	66	LK-1109150,LK-1109135	Thalangama	071-8591649	011-2789249	011-2788079
Western	Nugegoda	67	LK-1124015,LK-1124025,LK-1124010	Welikada	071-8591650	011-2864060	011-2862522
Western	Nugegoda	68	LK-1109040,LK-1109085	Nawagamuwa	071-8591652	011-2415212	011-2415222
Western	Nugegoda	69	LK-1106075,LK-1106145	Mulleriyawa	071-8591653	-	011-2578279
Western	Nugegoda	70	LK-1112,LK-1112120,LK-1112125,LK-1112140,LK-1112115,LK-1112135	Homagama	071-8591655	011-2855211	011-2855222
Western	Nugegoda	71	LK-1121035,LK-1121060,LK-1121130,LK-1121155,LK-1121125	Kottawa	071-8591656	-	011-2782760
Western	Nugegoda	72	LK-1109205,LK-1109285	Athurugiriya	071-8591657	011-2561202	011-2561222
Western	Nugegoda	73	LK-1118,LK-1118090	Padukka	071-8591659	011-2859110	011-2859027
Western	Nugegoda	74	LK-1115205	Hanwella	071-8591660	036-2253982	036-2255222
Western	Nugegoda	75	LK-1106200,LK-1106190	Gothatuwa	071-8592154	011-2411131	011-2411146
Western	Nugegoda	76		Meepe	071-8592179	-	011-2175450
Western	Mount Lavinia	77	LK-1131005	Mount Lavinia	071-8591664	011-2729622	011-2738351
Western	Mount Lavinia	78		Piliyandala	071-8591665	011-2614258	011-2614222
Western	Mount Lavinia	79	LK-1133005,LK-1133055	Angulana	071-8591666	-	011-2626357
Western	Mount Lavinia	80	LK-1130,LK-1130045,LK-1130040	Dehiwala	071-8591668	011-2713322	011-2738222
Western	Mount Lavinia	81	LK-1130020	Kohuwala	071-8591669	011-2853929	011-2852621
Western	Mount Lavinia	82	LK-1133	Moratuwa	071-8591671	011-2645215	011-2645222
Western	Mount Lavinia	83	LK-1112370,LK-1112365,LK-1112375,LK-1112340	Kahathuduwa	071-8591672	011-2705544	011-2705233
Western	Mount Lavinia	84	LK-1133135,LK-1133140,LK-1133100	Moratumulla	071-8591673	-	011-2653143
Western	Mount Lavinia	85		Egoda Uyana	071-8592180	-	011-2659796
Western	Panadura	86		Panadura South	071-8591677	038-2232576	038-2232222
Western	Panadura	87		Panadura North	071-8591678	038-2297804	038-2233204
Western	Panadura	88	LK-1303325,LK-1303345,LK-1303320	Wadduwa	071-8591679	038-2284855	038-2232522
Western	Panadura	89	LK-1306,LK-1306195,LK-1306190,LK-1306235	Bandaragama	071-8591681	038-2293922	038-2290222
Western	Panadura	90		Anguruwatota	071-8591682	034-2251420	034-2251344
Western	Panadura	91	LK-1318,LK-1318050	Millaniya	071-8591683	034-2252722	034-2252222
Western	Panadura	92	LK-1309,LK-1309260,LK-1309280,LK-1309305	Horana	071-8591685	034-2261223	034-2261222
Western	Panadura	93	LK-1310,LK-1310090,LK-1310150,LK-1310085	Ingiriya	071-8591686	034-2269223	034-2269222
Western	Panadura	94		Moragahahena	071-8591687	034-2253253	034-2254524
Western	Panadura	95	LK-1321020,LK-1321075	Moronthuduwa	071-8592138	-	038-2295599
Western	Kalutara	96	LK-1321280	Kalutara South	071-8591691	034-2222226	034-2222223
Western	Kalutara	97	LK-1321240	Kalutara North	071-8591692	034-2237841	034-2237225
Western	Kalutara	98	LK-1324035	Payagala	071-8591694	034-2222751	034-2222750
Western	Kalutara	99	LK-1327,LK-1327190,LK-1327205,LK-1327170,LK-1327185,LK-1327210,LK-1327160,LK-1327175,LK-1327180,LK-1327165	Dodangoda	071-8591695	-	034-2281622
Western	Kalutara	100	LK-1306025,LK-1324405,LK-1324410	Aluthgama	071-8591697	034-2271350	034-2275222
Western	Kalutara	101		Welipanna	071-8591698	-	034-2274423
Western	Kalutara	102	LK-1324	Beruwala	071-8591699	034-2279966	034-2276322
Western	Kalutara	103	LK-1330,LK-1330040,LK-1330060,LK-1330045,LK-1330065	Mathugama	071-8591701	034-2247120	034-2247222
Western	Kalutara	104	LK-1312,LK-1312110,LK-1312115,LK-1312150,LK-1312055,LK-1312105,LK-1312165	Bulathsinhala	071-8591702	034-2282292	034-2283122
Western	Kalutara	105	LK-1327055,LK-1327050	Thebuwana	071-8591703	-	034-2242122
Western	Kalutara	106	LK-1336120	Baduraliya	071-8591705	-	034-2244422
Western	Kalutara	107	LK-1339040	Meegahathenna	071-8591706	-	034-2284022
Western	Kalutara	108	LK-1336215	Thiniyawala	071-8591707	-	091-3783119
Western	Kalutara	111	LK-1112310,LK-1112235,LK-1112240,LK-1112230	Mattegoda	071-8592207	-	011-2783776